src,dst,edge_type
cfRNA_0,cfRNA_193,similarity
cfRNA_0,cfRNA_101,similarity
cfRNA_0,cfRNA_5,similarity
cfRNA_0,cfRNA_10,similarity
cfRNA_0,cfRNA_21,similarity
cfRNA_0,cfRNA_18,similarity
cfRNA_0,cfRNA_19,similarity
cfRNA_0,cfRNA_20,similarity
cfRNA_0,cfRNA_196,similarity
cfRNA_0,cfRNA_2,similarity
cfRNA_1,cfRNA_11,similarity
cfRNA_1,cfRNA_196,similarity
cfRNA_1,cfRNA_6,similarity
cfRNA_1,cfRNA_193,similarity
cfRNA_1,cfRNA_7,similarity
cfRNA_1,cfRNA_82,similarity
cfRNA_1,cfRNA_77,similarity
cfRNA_1,cfRNA_197,similarity
cfRNA_1,cfRNA_47,similarity
cfRNA_1,cfRNA_8,similarity
cfRNA_2,cfRNA_30,similarity
cfRNA_2,cfRNA_196,similarity
cfRNA_2,cfRNA_0,similarity
cfRNA_2,cfRNA_5,similarity
cfRNA_2,cfRNA_10,similarity
cfRNA_2,cfRNA_21,similarity
cfRNA_2,cfRNA_101,similarity
cfRNA_2,cfRNA_19,similarity
cfRNA_2,cfRNA_18,similarity
cfRNA_2,cfRNA_20,similarity
cfRNA_3,cfRNA_183,similarity
cfRNA_3,cfRNA_113,similarity
cfRNA_3,cfRNA_175,similarity
cfRNA_3,cfRNA_177,similarity
cfRNA_3,cfRNA_184,similarity
cfRNA_3,cfRNA_186,similarity
cfRNA_3,cfRNA_185,similarity
cfRNA_3,cfRNA_181,similarity
cfRNA_3,cfRNA_187,similarity
cfRNA_3,cfRNA_182,similarity
cfRNA_4,cfRNA_55,similarity
cfRNA_4,cfRNA_40,similarity
cfRNA_4,cfRNA_25,similarity
cfRNA_4,cfRNA_44,similarity
cfRNA_4,cfRNA_124,similarity
cfRNA_4,cfRNA_54,similarity
cfRNA_4,cfRNA_106,similarity
cfRNA_4,cfRNA_12,similarity
cfRNA_4,cfRNA_3,similarity
cfRNA_4,cfRNA_107,similarity
cfRNA_5,cfRNA_30,similarity
cfRNA_5,cfRNA_26,similarity
cfRNA_5,cfRNA_204,similarity
cfRNA_5,cfRNA_2,similarity
cfRNA_5,cfRNA_20,similarity
cfRNA_5,cfRNA_18,similarity
cfRNA_5,cfRNA_10,similarity
cfRNA_5,cfRNA_101,similarity
cfRNA_5,cfRNA_16,similarity
cfRNA_5,cfRNA_21,similarity
cfRNA_6,cfRNA_0,similarity
cfRNA_6,cfRNA_193,similarity
cfRNA_6,cfRNA_11,similarity
cfRNA_6,cfRNA_36,similarity
cfRNA_6,cfRNA_82,similarity
cfRNA_6,cfRNA_26,similarity
cfRNA_6,cfRNA_203,similarity
cfRNA_6,cfRNA_196,similarity
cfRNA_6,cfRNA_7,similarity
cfRNA_6,cfRNA_24,similarity
cfRNA_7,cfRNA_203,similarity
cfRNA_7,cfRNA_20,similarity
cfRNA_7,cfRNA_2,similarity
cfRNA_7,cfRNA_193,similarity
cfRNA_7,cfRNA_0,similarity
cfRNA_7,cfRNA_8,similarity
cfRNA_7,cfRNA_196,similarity
cfRNA_7,cfRNA_82,similarity
cfRNA_7,cfRNA_26,similarity
cfRNA_7,cfRNA_6,similarity
cfRNA_8,cfRNA_197,similarity
cfRNA_8,cfRNA_196,similarity
cfRNA_8,cfRNA_77,similarity
cfRNA_8,cfRNA_193,similarity
cfRNA_8,cfRNA_82,similarity
cfRNA_8,cfRNA_203,similarity
cfRNA_8,cfRNA_24,similarity
cfRNA_8,cfRNA_11,similarity
cfRNA_8,cfRNA_7,similarity
cfRNA_8,cfRNA_6,similarity
cfRNA_9,cfRNA_193,similarity
cfRNA_9,cfRNA_67,similarity
cfRNA_9,cfRNA_194,similarity
cfRNA_9,cfRNA_8,similarity
cfRNA_9,cfRNA_11,similarity
cfRNA_9,cfRNA_197,similarity
cfRNA_9,cfRNA_32,similarity
cfRNA_9,cfRNA_47,similarity
cfRNA_9,cfRNA_65,similarity
cfRNA_9,cfRNA_77,similarity
cfRNA_10,cfRNA_204,similarity
cfRNA_10,cfRNA_16,similarity
cfRNA_10,cfRNA_30,similarity
cfRNA_10,cfRNA_19,similarity
cfRNA_10,cfRNA_2,similarity
cfRNA_10,cfRNA_101,similarity
cfRNA_10,cfRNA_20,similarity
cfRNA_10,cfRNA_18,similarity
cfRNA_10,cfRNA_5,similarity
cfRNA_10,cfRNA_21,similarity
cfRNA_11,cfRNA_134,similarity
cfRNA_11,cfRNA_197,similarity
cfRNA_11,cfRNA_36,similarity
cfRNA_11,cfRNA_8,similarity
cfRNA_11,cfRNA_82,similarity
cfRNA_11,cfRNA_200,similarity
cfRNA_11,cfRNA_24,similarity
cfRNA_11,cfRNA_133,similarity
cfRNA_11,cfRNA_203,similarity
cfRNA_11,cfRNA_6,similarity
cfRNA_12,cfRNA_70,similarity
cfRNA_12,cfRNA_139,similarity
cfRNA_12,cfRNA_159,similarity
cfRNA_12,cfRNA_158,similarity
cfRNA_12,cfRNA_124,similarity
cfRNA_12,cfRNA_173,similarity
cfRNA_12,cfRNA_83,similarity
cfRNA_12,cfRNA_102,similarity
cfRNA_12,cfRNA_125,similarity
cfRNA_12,cfRNA_106,similarity
cfRNA_13,cfRNA_24,similarity
cfRNA_13,cfRNA_193,similarity
cfRNA_13,cfRNA_0,similarity
cfRNA_13,cfRNA_36,similarity
cfRNA_13,cfRNA_2,similarity
cfRNA_13,cfRNA_196,similarity
cfRNA_13,cfRNA_203,similarity
cfRNA_13,cfRNA_6,similarity
cfRNA_13,cfRNA_200,similarity
cfRNA_13,cfRNA_11,similarity
cfRNA_14,cfRNA_181,similarity
cfRNA_14,cfRNA_159,similarity
cfRNA_14,cfRNA_173,similarity
cfRNA_14,cfRNA_76,similarity
cfRNA_14,cfRNA_83,similarity
cfRNA_14,cfRNA_178,similarity
cfRNA_14,cfRNA_74,similarity
cfRNA_14,cfRNA_121,similarity
cfRNA_14,cfRNA_97,similarity
cfRNA_14,cfRNA_96,similarity
cfRNA_15,cfRNA_59,similarity
cfRNA_15,cfRNA_136,similarity
cfRNA_15,cfRNA_74,similarity
